Note,Velocity,time,acc_time
57,80,0,146.33750000000018
67,0,0.3783333333333333,146.7158333333335
57,0,0,146.7158333333335
65,80,0.021666666666666664,146.73750000000018
48,80,0,146.73750000000018
65,0,0.3783333333333333,147.1158333333335
48,0,0,147.1158333333335
64,80,0.021666666666666664,147.1375000000002
36,80,0,147.1375000000002
36,0,0.3783333333333333,147.51583333333352
48,80,0.021666666666666664,147.5375000000002
64,0,0.35833333333333334,147.8958333333335
48,0,0.019999999999999997,147.91583333333352
74,80,0.021666666666666664,147.9375000000002
58,80,0,147.9375000000002
58,0,0.3783333333333333,148.31583333333353
52,80,0.021666666666666664,148.3375000000002
74,0,0.35833333333333334,148.69583333333352
52,0,0.019999999999999997,148.71583333333353
72,80,0.021666666666666664,148.7375000000002
36,80,0,148.7375000000002
36,0,0.3783333333333333,149.11583333333354
48,80,0.021666666666666664,149.13750000000022
48,0,0.3783333333333333,149.51583333333355
58,80,0.021666666666666664,149.53750000000022
58,0,0.3783333333333333,149.91583333333355
52,80,0.021666666666666664,149.93750000000023
72,0,0.3183333333333333,150.25583333333356
52,0,0.06,150.31583333333356
70,80,0.021666666666666664,150.33750000000023
36,80,0,150.33750000000023
36,0,0.3783333333333333,150.71583333333356
48,80,0.021666666666666664,150.73750000000024
48,0,0.3783333333333333,151.11583333333357
58,80,0.021666666666666664,151.13750000000024
58,0,0.3783333333333333,151.51583333333357
52,80,0.021666666666666664,151.53750000000025
70,0,0.3183333333333333,151.85583333333358
52,0,0.06,151.91583333333358
72,80,0.021666666666666664,151.93750000000026
36,80,0,151.93750000000026
72,0,0.3783333333333333,152.3158333333336
36,0,0,152.3158333333336
70,80,0.021666666666666664,152.33750000000026
48,80,0,152.33750000000026
70,0,0.3783333333333333,152.7158333333336
48,0,0,152.7158333333336
69,80,0.021666666666666664,152.73750000000027
58,80,0,152.73750000000027
69,0,0.3783333333333333,153.1158333333336
58,0,0,153.1158333333336
67,80,0.021666666666666664,153.13750000000027
52,80,0,153.13750000000027
67,0,0.3783333333333333,153.5158333333336
52,0,0,153.5158333333336
65,80,0.021666666666666664,153.53750000000028
41,80,0,153.53750000000028
41,0,0.3783333333333333,153.9158333333336
48,80,0.021666666666666664,153.93750000000028
65,0,0.35833333333333334,154.2958333333336
48,0,0.019999999999999997,154.31583333333361
77,80,0.021666666666666664,154.3375000000003
57,80,0,154.3375000000003
57,0,0.3783333333333333,154.71583333333362
48,80,0.021666666666666664,154.7375000000003
77,0,0.35833333333333334,155.09583333333362
48,0,0.019999999999999997,155.11583333333363
72,80,0.021666666666666664,155.1375000000003
41,80,0,155.1375000000003
41,0,0.3783333333333333,155.51583333333363
48,80,0.021666666666666664,155.5375000000003
48,0,0.3783333333333333,155.91583333333364
57,80,0.021666666666666664,155.9375000000003
57,0,0.3783333333333333,156.31583333333364
48,80,0.021666666666666664,156.33750000000032
72,0,0.3183333333333333,156.65583333333365
48,0,0.06,156.71583333333365
69,80,0.021666666666666664,156.73750000000032
41,80,0,156.73750000000032
41,0,0.3783333333333333,157.11583333333365
48,80,0.021666666666666664,157.13750000000033
48,0,0.3783333333333333,157.51583333333366
57,80,0.021666666666666664,157.53750000000034
57,0,0.3783333333333333,157.91583333333367
48,80,0.021666666666666664,157.93750000000034
69,0,0.3183333333333333,158.25583333333367
48,0,0.06,158.31583333333367
70,80,0.021666666666666664,158.33750000000035
38,80,0,158.33750000000035
70,0,0.3783333333333333,158.71583333333368
38,0,0,158.71583333333368
69,80,0.021666666666666664,158.73750000000035
50,80,0,158.73750000000035
69,0,0.3783333333333333,159.11583333333368
50,0,0,159.11583333333368
67,80,0.021666666666666664,159.13750000000036
62,80,0,159.13750000000036
67,0,0.3783333333333333,159.5158333333337
62,0,0,159.5158333333337
66,80,0.021666666666666664,159.53750000000036
57,80,0,159.53750000000036
66,0,0.3783333333333333,159.9158333333337
57,0,0,159.9158333333337
67,80,0.021666666666666664,159.93750000000037
43,80,0,159.93750000000037
67,0,0.3783333333333333,160.3158333333337
43,0,0,160.3158333333337
66,80,0.021666666666666664,160.33750000000038
53,80,0,160.33750000000038
66,0,0.3783333333333333,160.7158333333337
53,0,0,160.7158333333337
67,80,0.021666666666666664,160.73750000000038
58,80,0,160.73750000000038
67,0,0.3783333333333333,161.1158333333337
58,0,0,161.1158333333337
69,80,0.021666666666666664,161.1375000000004
53,80,0,161.1375000000004
69,0,0.3783333333333333,161.51583333333372
53,0,0,161.51583333333372
70,80,0.021666666666666664,161.5375000000004
43,80,0,161.5375000000004
70,0,0.3783333333333333,161.91583333333372
43,0,0,161.91583333333372
62,80,0.021666666666666664,161.9375000000004
53,80,0,161.9375000000004
62,0,0.3783333333333333,162.31583333333373
53,0,0,162.31583333333373
69,80,0.021666666666666664,162.3375000000004
58,80,0,162.3375000000004
69,0,0.3783333333333333,162.71583333333373
58,0,0,162.71583333333373
67,80,0.021666666666666664,162.7375000000004
53,80,0,162.7375000000004
67,0,0.3783333333333333,163.11583333333374
53,0,0,163.11583333333374
65,80,0.021666666666666664,163.13750000000041
36,80,0,163.13750000000041
65,0,0.09,163.22750000000042
67,80,0.008333333333333333,163.23583333333374
67,0,0.09,163.32583333333375
65,80,0.011666666666666665,163.3375000000004
65,0,0.09,163.4275000000004
67,80,0.008333333333333333,163.43583333333373
36,0,0.07999999999999999,163.51583333333375
67,0,0.009999999999999998,163.52583333333374
65,80,0.011666666666666665,163.5375000000004
48,80,0,163.5375000000004
65,0,0.09,163.6275000000004
67,80,0.008333333333333333,163.63583333333372
67,0,0.09,163.72583333333372
65,80,0.011666666666666665,163.73750000000038
65,0,0.09,163.82750000000038
67,80,0.008333333333333333,163.8358333333337
48,0,0.07999999999999999,163.91583333333372
67,0,0.009999999999999998,163.9258333333337
65,80,0.011666666666666665,163.93750000000037
58,80,0,163.93750000000037
65,0,0.09,164.02750000000037
67,80,0.008333333333333333,164.0358333333337
67,0,0.09,164.1258333333337
65,80,0.011666666666666665,164.13750000000036
65,0,0.09,164.22750000000036
67,80,0.008333333333333333,164.2358333333337
58,0,0.07999999999999999,164.3158333333337
67,0,0.009999999999999998,164.3258333333337
65,80,0.011666666666666665,164.33750000000035
52,80,0,164.33750000000035
65,0,0.09,164.42750000000035
67,80,0.008333333333333333,164.43583333333368
67,0,0.09,164.52583333333368
65,80,0.011666666666666665,164.53750000000034
